BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,
Basic_100_people_End,,,,,,,,,,,,,
04/29/2020 12:18:45:896 -0300,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,nw-type,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
85,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,890,3,97,0.034245221,0.005534357
87,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,915,2,98,0.044610727,0.095849767
88,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,895,7,93,0.064484006,0.164682767
86,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,1179,3,97,0.033726317,0.003702928
89,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,901,5,95,0.064380481,0.165054287
90,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,919,5,95,0.043819378,0.095386111
92,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,983,8,92,0.072907556,0.188634767
91,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,987,3,97,0.043712588,0.09651025
93,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,895,5,95,0.04461483,0.096071227
101,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,872,6,94,0.034116685,0.005914106
94,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,899,5,95,0.054175656,0.13496761
95,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,877,8,92,0.054233191,0.135248924
102,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,903,1,99,0.04462554,0.095889398
96,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,887,4,96,0.044341223,0.096015873
103,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,921,7,93,0.053530703,0.133717627
104,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,901,5,95,0.044731897,0.096495715
105,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,977,3,97,0.034609531,0.003715354
106,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,888,3,97,0.044516928,0.096197645
107,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,862,3,97,0.043459566,0.095416497
108,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,903,3,97,0.034548136,0.004347226
109,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,920,2,98,0.035001374,0.002110947
97,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,874,7,93,0.054108077,0.135494106
110,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,886,2,98,0.044425531,0.096310626
111,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,921,2,98,0.04413166,0.096332524
112,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,930,4,96,0.044624284,0.095488473
113,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,903,6,94,0.044408395,0.096457758
114,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,881,2,98,0.053508067,0.134641266
115,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,889,7,93,0.054520119,0.134947384
98,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,948,6,94,0.053980062,0.135239748
116,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,902,4,96,0.044641559,0.095924692
117,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,891,3,97,0.034173927,0.00573476
118,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,894,6,94,0.043920529,0.094522319
120,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,892,2,98,0.034767914,0.003365657
99,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,903,3,97,0.044406935,0.095256317
121,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1000,5,95,0.053502473,0.133699482
119,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1103,9,91,0.043417666,0.096569942
122,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,882,4,96,0.063631478,0.164493274
123,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,921,5,95,0.04464904,0.095301158
100,0.1,1,100,random,FALSE,FALSE,FALSE,erdos-renyi,962,4,96,0.044188184,0.095466506
124,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,895,3,97,0.054133155,0.134512554
125,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,892,5,95,0.05410632,0.134712048
126,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,992,6,94,0.054131329,0.135334995
128,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,873,7,93,0.063751105,0.16454099
127,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,897,4,96,0.044551165,0.095738383
129,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,880,6,94,0.054068792,0.135403198
131,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,884,6,94,0.053935864,0.134045375
130,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1122,7,93,0.043381907,0.095725479
132,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,906,3,97,0.034893245,0.002650957
133,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,993,6,94,0.044067034,0.095883296
134,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,902,2,98,0.044445414,0.095637301
135,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,903,2,98,0.034836149,0.003484718
136,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,911,5,95,0.054074839,0.135291643
137,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,902,2,98,0.034712353,0.003800046
138,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,903,6,94,0.054493098,0.134477596
139,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,906,4,96,0.044776246,0.096106113
140,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,912,2,98,0.034668662,0.00413087
141,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,897,9,91,0.044388141,0.096006397
142,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,866,4,96,0.044009049,0.096234898
143,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,881,8,92,0.06397415,0.164392056
144,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,915,4,96,0.044862054,0.095749912
145,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1002,7,93,0.053737773,0.133861449
146,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,909,8,92,0.053716038,0.135049178
147,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,887,4,96,0.034741553,0.003536141
148,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,889,5,95,0.034901253,0.002514113
149,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,870,3,97,0.044139886,0.096437739
150,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,879,6,94,0.044353537,0.09642812
152,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,909,2,98,0.044612244,0.09518786
151,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1021,3,97,0.034335295,0.003430128
153,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,898,4,96,0.034611004,0.004309443
154,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,894,2,98,0.0345582,0.004603858
155,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,893,4,96,0.044308944,0.096014395
156,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,894,7,93,0.043989803,0.095673572
157,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,886,12,88,0.063941405,0.164773287
158,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,894,3,97,0.034667979,0.004015255
159,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,900,4,96,0.044429895,0.095458488
160,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,904,4,96,0.053752514,0.134231971
161,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,896,7,93,0.044509958,0.095645676
162,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,942,2,98,0.034710391,0.00358913
163,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,872,7,93,0.073734513,0.189297095
164,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,910,3,97,0.054550966,0.135155659
165,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,906,6,94,0.054627083,0.134288368
166,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,892,3,97,0.034827108,0.002870252
167,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,890,4,96,0.053967265,0.134544424
168,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,931,5,95,0.035001985,0.001823217
169,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,926,0,100,0.03477543,0.003734088
170,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,879,3,97,0.034507205,0.004535916
171,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,867,3,97,0.044118658,0.095898711
172,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,937,4,96,0.044935228,0.09623565
173,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,923,5,95,0.063315233,0.164332364
174,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,894,4,96,0.034574406,0.00462495
176,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,911,4,96,0.034989832,0.002165651
177,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,910,2,98,0.044643854,0.096236423
175,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1092,4,96,0.052373213,0.135268127
178,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,921,4,96,0.053870643,0.134454008
179,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,933,3,97,0.034449942,0.004656898
180,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,876,7,93,0.063878234,0.164273088
181,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,908,3,97,0.034784181,0.003560682
182,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,902,4,96,0.044701707,0.095861215
184,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,891,7,93,0.054383842,0.13556937
183,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,920,5,95,0.034868459,0.003300986
186,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,865,6,94,0.053758913,0.13472955
187,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,889,4,96,0.063992945,0.164256308
185,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1078,3,97,0.043736927,0.096239049
188,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,890,4,96,0.034553085,0.004406434
189,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,896,4,96,0.054325222,0.135316091
190,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,918,4,96,0.053762094,0.133850173
191,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,891,0,100,0.034702228,0.003640809
192,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,928,4,96,0.043897937,0.096575289
193,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,941,4,96,0.054683855,0.135547524
195,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,910,5,95,0.044683403,0.095997473
194,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1012,8,92,0.063338872,0.165142078
196,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1001,7,93,0.03491986,0.001920015
197,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,882,8,92,0.054498392,0.135719166
201,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,889,6,94,0.034725835,0.003884314
202,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,886,5,95,0.064437067,0.164127389
203,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,904,6,94,0.035055057,0.001524089
198,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,1058,8,92,0.043053241,0.096533764
200,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,886,3,97,0.044250842,0.096106457
199,0.1,1,100,random,FALSE,FALSE,FALSE,small-world,893,4,96,0.044466159,0.096267372
204,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,872,4,96,0.044166878,0.095934991
205,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,901,6,94,0.045012848,0.096165759
206,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,876,8,92,0.054738526,0.134097069
207,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,875,4,96,0.065056235,0.164746415
209,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,863,5,95,0.054876581,0.135269544
208,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,908,5,95,0.034942045,0.002718992
210,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,864,5,95,0.047067513,0.096622615
211,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,859,5,95,0.065214301,0.164094406
212,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,903,3,97,0.044793485,0.095704972
213,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,904,1,99,0.034421601,0.004584375
214,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,901,2,98,0.033992071,0.00669174
215,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,907,2,98,0.045145417,0.096097676
217,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,893,5,95,0.055430184,0.134337319
216,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,922,6,94,0.044253815,0.096035162
218,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,876,8,92,0.064066296,0.165202188
219,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,848,3,97,0.043820507,0.095978313
220,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,909,2,98,0.034779576,0.003458664
221,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,945,7,93,0.044085787,0.095628032
222,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,891,8,92,0.044422335,0.096536279
223,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,909,6,94,0.044719769,0.095460384
224,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,922,1,99,0.044769409,0.095979794
225,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,947,9,91,0.034276809,0.004810398
227,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,878,6,94,0.05415945,0.135133487
226,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,908,3,97,0.03501844,0.001971376
228,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,912,4,96,0.035114375,9.22E-04
229,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,966,2,98,0.034606472,0.002899438
230,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,909,4,96,0.034971241,0.002227694
231,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,874,3,97,0.034322096,0.005328707
232,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,888,0,100,0.034519978,0.004715722
233,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,913,4,96,0.035126057,8.81E-04
234,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,905,6,94,0.065001509,0.164796157
235,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,919,2,98,0.044404229,0.095104621
236,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,1016,4,96,0.054521289,0.135481714
237,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,915,10,90,0.064374462,0.164372154
238,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,903,5,95,0.045034395,0.096461904
239,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,877,3,97,0.044468848,0.096416338
241,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,872,7,93,0.063828854,0.163983199
242,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,891,9,91,0.065135427,0.164150847
240,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,978,5,95,0.044401145,0.095639283
243,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,910,2,98,0.035070819,0.001573677
244,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,906,4,96,0.035056409,0.0015911
245,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,906,9,91,0.064213289,0.164580028
247,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,862,7,93,0.075086104,0.18872177
246,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,893,5,95,0.034884852,0.002721226
248,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,894,9,91,0.083098316,0.20907565
249,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,888,6,94,0.034806559,0.003500685
250,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,888,6,94,0.054815971,0.135086735
251,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,898,10,90,0.044159906,0.096579547
252,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,887,10,90,0.064307284,0.164081002
254,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,861,6,94,0.046084238,0.09568987
253,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,1016,4,96,0.043959709,0.095911054
255,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,971,8,92,0.044118409,0.096577231
256,0.1,1,100,random,FALSE,FALSE,FALSE,barabasi-albert,895,6,94,0.044265091,0.096071534
