BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,
Simulation.nlogo,,,,,,,,,,,,,,,,
Interventions_100_people_End,,,,,,,,,,,,,,,,
04/29/2020 17:09:00:810 -0300,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,
[run number],beta-gov,sigma,pop-size,layout-type,graphics?,test?,debug?,intervention?,nw-type,intervention-type,perc-interventions,[step],count people with [social-distancing?],count people with [not social-distancing?],mean [opinion] of people,standard-deviation [opinion] of people
90,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,827,17,83,0.172533855,0.334924165
91,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,843,13,87,0.133456131,0.290318821
92,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,809,12,88,0.152811582,0.314283299
93,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,821,17,83,0.152844135,0.314089133
94,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,857,11,89,0.132797598,0.29058023
95,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,991,17,83,0.161451606,0.32535226
96,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,854,18,82,0.152622598,0.314325115
99,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,825,14,86,0.152934179,0.31396337
98,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,819,19,81,0.1626038,0.325219674
97,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,848,14,86,0.142965032,0.302349239
100,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,eigen,10,813,13,87,0.142734918,0.302878751
102,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,824,17,83,0.162558994,0.325134174
101,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,928,16,84,0.161564223,0.325136268
103,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,860,13,87,0.152373375,0.313735723
104,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,863,12,88,0.132557449,0.290665782
106,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,810,14,86,0.152714976,0.314092072
105,0.1,1,100,random,FALSE,FALSE,FALSE,TRUE,erdos-renyi,betweenness,10,842,14,86,0.142941471,0.302500084
